Employee,Department,Salary,Years_of_Experience
Ivan,IT,3300,1
Maria,Marketing,2700,1
Georgi,IT,3900,3
Elena,Finance,3100,2
Petar,Marketing,2850,2
Anna,Finance,3500,3
Dimitar,IT,4600,5
Kristina,Finance,4100,5
Nikolay,Marketing,2850,2
Sofia,IT,4800,6
Viktor,Finance,4300,6
Liliya,Marketing,3200,4
Todor,IT,5100,7
Yana,Finance,4600,7
Martin,Marketing,3500,5
Desislava,IT,4950,8
Hristo,Finance,5050,8
Ralitsa,Marketing,3750,6
Stefan,IT,5400,9
Gabriela,Finance,5150,9
Kristiyan,IT,5800,10
Mariya,Marketing,4200,7
Petya,Finance,5450,10
Vladimir,IT,6000,11
Simona,Marketing,4300,8
Radoslav,Finance,5600,11
Tsvetana,IT,6250,12
Nikol,Marketing,4450,9
Plamena,Finance,5850,12
Borislav,IT,6550,13
Daniela,Marketing,4550,10
Georgiana,Finance,6050,13
Kiril,IT,6700,14
Ivana,Marketing,4600,11
Milen,Finance,6250,14
Petko,IT,6800,15
Elitsa,Marketing,4700,12
Simeon,Finance,6350,15
Violeta,IT,6900,16
Stefka,Marketing,4800,13
Rumen,Finance,6450,16
Tanya,IT,7050,17
Kristiyan,Marketing,4950,14
Silviya,Finance,6550,17
Hristina,IT,7100,18
Boyan,Marketing,5000,15
Aneliya,Finance,6650,18
Ase
